DN,distance
1,0.214672221779
2,0.21145439653
3,0.207238729069
4,0.201499244916
5,0.217467419396
6,0.213067864318
7,0.207141544366
8,0.200403149826
9,0.193905821101
10,0.187315450998
11,0.223620776947
12,0.219478271921
13,0.213893048986
14,0.206924455505
15,0.199952269407
16,0.193005367442
17,0.186292444612
18,0.179830964595
19,0.173136639705
20,0.229774134499
21,0.225867992321
22,0.220591898925
23,0.213700241994
24,0.206728055897
25,0.199755869799
26,0.192783683702
27,0.185811497604
28,0.178870132556
29,0.172186896651
30,0.165786484944
31,0.158964144317
32,0.235927492051
33,0.232239502756
34,0.227206939607
35,0.220476028483
36,0.213503842386
37,0.206531656288
38,0.199559470191
39,0.192587284093
40,0.185615097996
41,0.178642911898
42,0.171670725801
43,0.164736082203
44,0.158087886435
45,0.151803231165
46,0.242080849602
47,0.238580651752
48,0.23375475329
49,0.227251814972
50,0.220279628875
51,0.213307442777
52,0.20633525668
53,0.199363070582
54,0.192390884485
55,0.185418698387
56,0.17844651229
57,0.171474326192
58,0.164502140095
59,0.157529953997
60,0.150603549888
61,0.143997333953
62,0.13776454787
63,0.248234207154
64,0.244865383521
65,0.24024714838
66,0.234027601461
67,0.227055415364
68,0.220083229266
69,0.213111043169
70,0.206138857071
71,0.199166670974
72,0.192194484876
73,0.185222298779
74,0.178250112681
75,0.171277926584
76,0.164305740487
77,0.157333554389
78,0.150361368292
79,0.143389182194
80,0.136473007213
81,0.129911248734
82,0.123595157076
83,0.251046214077
84,0.246692240468
85,0.24080338795
86,0.233831201853
87,0.226859015755
88,0.219886829658
89,0.21291464356
90,0.205942457463
91,0.198970271365
92,0.191998085268
93,0.185025899171
94,0.178053713073
95,0.171081526976
96,0.164109340878
97,0.157137154781
98,0.150164968683
99,0.143192782586
100,0.136220596488
101,0.129248410391
102,0.122345143577
103,0.115829175321
104,0.109437381183
105,0.257199571628
106,0.253097408662
107,0.247569467188
108,0.240606988342
109,0.233634802244
110,0.226662616147
111,0.21969043005
112,0.212718243952
113,0.205746057855
114,0.198773871757
115,0.19180168566
116,0.184829499562
117,0.177857313465
118,0.170885127367
119,0.16391294127
120,0.156940755172
121,0.149968569075
122,0.142996382977
123,0.13602419688
124,0.129052010782
125,0.122079824685
126,0.115107638587
127,0.108221008201
128,0.101759836819
129,0.0952963970569
130,0.26335292918
131,0.259484643502
132,0.254252942729
133,0.247382774831
134,0.240410588734
135,0.233438402636
136,0.226466216539
137,0.219494030441
138,0.212521844344
139,0.205549658246
140,0.198577472149
141,0.191605286051
142,0.184633099954
143,0.177660913856
144,0.170688727759
145,0.163716541661
146,0.156744355564
147,0.149772169466
148,0.142799983369
149,0.135827797271
150,0.128855611174
151,0.121883425077
152,0.114911238979
153,0.107939052882
154,0.100966866784
155,0.0941022798615
156,0.087715540339
157,0.0811809800903
158,0.269506286732
159,0.265852166032
160,0.260855775322
161,0.25415856132
162,0.247186375223
163,0.240214189125
164,0.233242003028
165,0.22626981693
166,0.219297630833
167,0.212325444735
168,0.205353258638
169,0.19838107254
170,0.191408886443
171,0.184436700345
172,0.177464514248
173,0.17049232815
174,0.163520142053
175,0.156547955956
176,0.149575769858
177,0.142603583761
178,0.135631397663
179,0.128659211566
180,0.121687025468
181,0.114714839371
182,0.107742653273
183,0.100770467176
184,0.0937982810782
185,0.0868260949808
186,0.0799918216708
187,0.0737165995496
188,0.0671072656969
189,0.275659644283
190,0.272186315845
191,0.267393641475
192,0.260934347809
193,0.253962161712
194,0.246989975614
195,0.240017789517
196,0.233045603419
197,0.226073417322
198,0.219101231224
199,0.212129045127
200,0.205156859029
201,0.198184672932
202,0.191212486834
203,0.184240300737
204,0.17726811464
205,0.170295928542
206,0.163323742445
207,0.156351556347
208,0.14937937025
209,0.142407184152
210,0.135434998055
211,0.128462811957
212,0.12149062586
213,0.114518439762
214,0.107546253665
215,0.100574067567
216,0.0936018814699
217,0.0866296953724
218,0.0796575092749
219,0.0726853231774
220,0.0658949466447
221,0.0598021022805
222,0.0531084177387
223,0.281813001835
224,0.278457019081
225,0.273877680182
226,0.267710134298
227,0.260737948201
228,0.253765762103
229,0.246793576006
230,0.239821389908
231,0.232849203811
232,0.225877017713
233,0.218904831616
234,0.211932645519
235,0.204960459421
236,0.197988273324
237,0.191016087226
238,0.184043901129
239,0.177071715031
240,0.170099528934
241,0.163127342836
242,0.156155156739
243,0.149182970641
244,0.142210784544
245,0.135238598446
246,0.128266412349
247,0.121294226251
248,0.114322040154
249,0.107349854056
250,0.100377667959
251,0.0934054818615
252,0.086433295764
253,0.0794611096665
254,0.0724889235691
255,0.0655167374716
256,0.0585445513741
257,0.0518227406877
258,0.0459235656431
259,0.284625008757
260,0.280315442272
261,0.274485920787
262,0.26751373469
263,0.260541548592
264,0.253569362495
265,0.246597176398
266,0.2396249903
267,0.232652804203
268,0.225680618105
269,0.218708432008
270,0.21173624591
271,0.204764059813
272,0.197791873715
273,0.190819687618
274,0.18384750152
275,0.176875315423
276,0.169903129325
277,0.162930943228
278,0.15595875713
279,0.148986571033
280,0.142014384935
281,0.135042198838
282,0.12807001274
283,0.121097826643
284,0.114125640546
285,0.107153454448
286,0.100181268351
287,0.0932090822531
288,0.0862368961556
289,0.0792647100581
290,0.0722925239607
291,0.0653203378632
292,0.0583481517657
293,0.0513759656682
294,0.0444037795708
295,0.0377943334384
296,0.0320254696168
297,0.290778366309
298,0.286716201407
299,0.281243053878
300,0.274289521179
301,0.267317335082
302,0.260345148984
303,0.253372962887
304,0.246400776789
305,0.239428590692
306,0.232456404594
307,0.225484218497
308,0.218512032399
309,0.211539846302
310,0.204567660204
311,0.197595474107
312,0.190623288009
313,0.183651101912
314,0.176678915814
315,0.169706729717
316,0.162734543619
317,0.155762357522
318,0.148790171424
319,0.141817985327
320,0.13484579923
321,0.127873613132
322,0.120901427035
323,0.113929240937
324,0.10695705484
325,0.0999848687422
326,0.0930126826447
327,0.0860404965472
328,0.0790683104498
329,0.0720961243523
330,0.0651239382548
331,0.0581517521573
332,0.0511795660599
333,0.0442073799624
334,0.0372351938649
335,0.0302630077674
336,0.0238735950269
337,0.0186048021328
338,0.296931723861
339,0.293100760418
340,0.287911760399
341,0.281065307668
342,0.274093121571
343,0.267120935473
344,0.260148749376
345,0.253176563278
346,0.246204377181
347,0.239232191083
348,0.232260004986
349,0.225287818888
350,0.218315632791
351,0.211343446693
352,0.204371260596
353,0.197399074498
354,0.190426888401
355,0.183454702303
356,0.176482516206
357,0.169510330109
358,0.162538144011
359,0.155565957914
360,0.148593771816
361,0.141621585719
362,0.134649399621
363,0.127677213524
364,0.120705027426
365,0.113732841329
366,0.106760655231
367,0.0997884691338
368,0.0928162830363
369,0.0858440969388
370,0.0788719108414
371,0.0718997247439
372,0.0649275386464
373,0.057955352549
374,0.0509831664515
375,0.044010980354
376,0.0370387942565
377,0.0300666081591
378,0.0230944220616
379,0.0161222359641
380,0.0105077713794
381,0.00841022979009
382,0.303085081412
383,0.299463934056
384,0.294502816381
385,0.287841094157
386,0.28086890806
387,0.273896721962
388,0.266924535865
389,0.259952349767
390,0.25298016367
391,0.246007977572
392,0.239035791475
393,0.232063605377
394,0.22509141928
395,0.218119233182
396,0.211147047085
397,0.204174860988
398,0.19720267489
399,0.190230488793
400,0.183258302695
401,0.176286116598
402,0.1693139305
403,0.162341744403
404,0.155369558305
405,0.148397372208
406,0.14142518611
407,0.134453000013
408,0.127480813915
409,0.120508627818
410,0.11353644172
411,0.106564255623
412,0.0995920695254
413,0.0926198834279
414,0.0856476973305
415,0.078675511233
416,0.0717033251355
417,0.064731139038
418,0.0577589529406
419,0.0507867668431
420,0.0438145807456
421,0.0368423946481
422,0.0298702085507
423,0.0228980224532
424,0.0159258363557
425,0.00895365025826
426,0.00198146416078
427,0.00702612788988
428,0.0141212822486
429,0.305789617345
430,0.301031042307
431,0.294616880646
432,0.287644694549
433,0.280672508451
434,0.273700322354
435,0.266728136256
436,0.259755950159
437,0.252783764061
438,0.245811577964
439,0.238839391866
440,0.231867205769
441,0.224895019672
442,0.217922833574
443,0.210950647477
444,0.203978461379
445,0.197006275282
446,0.190034089184
447,0.183061903087
448,0.176089716989
449,0.169117530892
450,0.162145344794
451,0.155173158697
452,0.148200972599
453,0.141228786502
454,0.134256600404
455,0.127284414307
456,0.120312228209
457,0.113340042112
458,0.106367856014
459,0.099395669917
460,0.0924234838195
461,0.0854512977221
462,0.0784791116246
463,0.0715069255271
464,0.0645347394296
465,0.0575625533322
466,0.0505903672347
467,0.0436181811372
468,0.0366459950398
469,0.0296738089423
470,0.0227016228448
471,0.0157294367473
472,0.00875725064986
473,0.00178506455239
474,0.00518712154508
475,0.0121593076426
476,0.0196282343029
477,0.0270587251005
478,0.30137194391
479,0.294420481038
480,0.28744829494
481,0.280476108843
482,0.273503922745
483,0.266531736648
484,0.259559550551
485,0.252587364453
486,0.245615178356
487,0.238642992258
488,0.231670806161
489,0.224698620063
490,0.217726433966
491,0.210754247868
492,0.203782061771
493,0.196809875673
494,0.189837689576
495,0.182865503478
496,0.175893317381
497,0.168921131283
498,0.161948945186
499,0.154976759088
500,0.148004572991
501,0.141032386893
502,0.134060200796
503,0.127088014699
504,0.120115828601
505,0.113143642504
506,0.106171456406
507,0.0991992703086
508,0.0922270842112
509,0.0852548981137
510,0.0782827120162
511,0.0713105259187
512,0.0643383398213
513,0.0573661537238
514,0.0503939676263
515,0.0434217815288
516,0.0364495954314
517,0.0294774093339
518,0.0225052232364
519,0.0155330371389
520,0.00856085104147
521,0.001588664944
522,0.00538352115347
523,0.0123557072509
524,0.0193278933484
525,0.0263000794459
526,0.0333788832934
527,0.040853689433
528,0.29415667667
529,0.287251895332
530,0.280279709235
531,0.273307523137
532,0.26633533704
533,0.259363150942
534,0.252390964845
535,0.245418778747
536,0.23844659265
537,0.231474406552
538,0.224502220455
539,0.217530034357
540,0.21055784826
541,0.203585662162
542,0.196613476065
543,0.189641289967
544,0.18266910387
545,0.175696917772
546,0.168724731675
547,0.161752545578
548,0.15478035948
549,0.147808173383
550,0.140835987285
551,0.133863801188
552,0.12689161509
553,0.119919428993
554,0.112947242895
555,0.105975056798
556,0.0990028707002
557,0.0920306846028
558,0.0850584985053
559,0.0780863124078
560,0.0711141263103
561,0.0641419402129
562,0.0571697541154
563,0.0501975680179
564,0.0432253819205
565,0.036253195823
566,0.0292810097255
567,0.022308823628
568,0.0153366375306
569,0.00836445143309
570,0.00139226533562
571,0.00557992076186
572,0.0125521068593
573,0.0195242929568
574,0.0264964790543
575,0.0334686651518
576,0.0404408512492
577,0.0472784121437
578,0.286941412538
579,0.280083309626
580,0.273111123529
581,0.266138937431
582,0.259166751334
583,0.252194565236
584,0.245222379139
585,0.238250193041
586,0.231278006944
587,0.224305820846
588,0.217333634749
589,0.210361448651
590,0.203389262554
591,0.196417076456
592,0.189444890359
593,0.182472704262
594,0.175500518164
595,0.168528332067
596,0.161556145969
597,0.154583959872
598,0.147611773774
599,0.140639587677
600,0.133667401579
601,0.126695215482
602,0.119723029384
