DN,distance
1,0.409117083053
2,0.409311203267
3,0.40939338798
4,0.406132141884
5,0.404274496038
6,0.404198508196
7,0.402732901902
8,0.400494600287
9,0.398169302267
10,0.394021207505
11,0.400387777344
12,0.399876398769
13,0.398320368235
14,0.395555028976
15,0.393021520445
16,0.390727590678
17,0.388677481598
18,0.386341447112
19,0.382055221926
20,0.397681418266
21,0.396754187243
22,0.395058084993
23,0.391831133318
24,0.388759272072
25,0.385922150448
26,0.383324980651
27,0.380972670116
28,0.378869779686
29,0.377020482924
30,0.374651219084
31,0.370248239135
32,0.396179609154
33,0.394882178414
34,0.392958372023
35,0.38935779577
36,0.385748140256
37,0.382366005675
38,0.37921747966
39,0.376308425981
40,0.373644438001
41,0.371230791602
42,0.369072398342
43,0.367173759686
44,0.365538923217
45,0.363125488708
46,0.395896058421
47,0.394266461357
48,0.392049601626
49,0.388158922628
50,0.38401755663
51,0.380094223035
52,0.376395739839
53,0.372928796895
54,0.36969990822
55,0.366715361994
56,0.363981168891
57,0.361503009519
58,0.359286181861
59,0.357335549673
60,0.355655492921
61,0.354249858659
62,0.351678196972
63,0.396833377534
64,0.394887876283
65,0.392347689046
66,0.388246320401
67,0.383584853572
68,0.379129891296
69,0.374888795589
70,0.37086890358
71,0.367077482594
72,0.36352168135
73,0.360208477685
74,0.35714462334
75,0.354336586546
76,0.351790493262
77,0.349512068081
78,0.347506575936
79,0.345778765836
80,0.344332817907
81,0.343125626027
82,0.340291800136
83,0.396689592208
84,0.393856442034
85,0.389619123497
86,0.384454413395
87,0.379482977962
88,0.374712509996
89,0.370150779726
90,0.365805596344
91,0.361684764541
92,0.357796036151
93,0.354147057124
94,0.350745310239
95,0.347598054136
96,0.344712259462
97,0.342094543084
98,0.339751101532
99,0.337687644987
100,0.335909333245
101,0.334420715186
102,0.333225673276
103,0.332153573891
104,0.329125431407
105,0.399680242092
106,0.396573425466
107,0.392254258793
108,0.386617449254
109,0.381149821792
110,0.375868755335
111,0.370782221555
112,0.365898333429
113,0.361225310561
114,0.356771438844
115,0.352545024301
116,0.348554341163
117,0.344807574348
118,0.341312756739
119,0.338077701863
120,0.33510993283
121,0.332416608589
122,0.330004448834
123,0.327879659074
124,0.32604785756
125,0.324514005867
126,0.323282344999
127,0.322356338813
128,0.321369771799
129,0.318202255338
130,0.403848478218
131,0.400516568764
132,0.396053230043
133,0.390052442829
134,0.384113320183
135,0.378345314926
136,0.372756370718
137,0.367354660369
138,0.362148562167
139,0.357146630481
140,0.352357560226
141,0.347790144818
142,0.343453227408
143,0.339355645307
144,0.335506167732
145,0.331913427223
146,0.328585845336
147,0.325531553524
148,0.322758310387
149,0.3202734168
150,0.318083630659
151,0.316195083259
152,0.31461319944
153,0.31334262373
154,0.312387154715
155,0.311749689679
156,0.310808523582
157,0.307548185412
158,0.409158312744
159,0.405648952199
160,0.400980779573
161,0.394726188954
162,0.388343789484
163,0.382116518114
164,0.376052081499
165,0.370158483064
166,0.36444401102
167,0.35891722131
168,0.353586914828
169,0.348462108302
170,0.343551998257
171,0.338865917571
172,0.334413284239
173,0.330203542167
174,0.326246093991
175,0.322550226211
176,0.319125027244
177,0.315979299318
178,0.31312146554
179,0.310559473799
180,0.308300699563
181,0.306351849897
182,0.30471887129
183,0.303406863971
184,0.302420005438
185,0.301761485736
186,0.301433456766
187,0.30050392176
188,0.297192164673
189,0.415565988146
190,0.411905406786
191,0.407009639193
192,0.400595332394
193,0.393800399848
194,0.387144533094
195,0.380635027407
196,0.374279519442
197,0.368085986229
198,0.362062740202
199,0.35621841955
200,0.350561973139
201,0.345102639219
202,0.33984991714
203,0.334813531334
204,0.330003386875
205,0.325429516076
206,0.321102015749
207,0.317030974989
208,0.313226393663
209,0.309698092134
210,0.30645561319
211,0.303508117585
212,0.300864275089
213,0.298532153393
214,0.296519107637
215,0.294831673634
216,0.293475468076
217,0.292455099027
218,0.291774089891
219,0.29143481967
220,0.291438481845
221,0.290490521061
222,0.287166440379
223,0.423021619079
224,0.419190851111
225,0.414104500884
226,0.407608238907
227,0.400433029369
228,0.393381170868
229,0.386459415952
230,0.379674880342
231,0.373035051097
232,0.366547792152
233,0.360221346558
234,0.354064334691
235,0.348085747604
236,0.342294934624
237,0.336701584276
238,0.331315697543
239,0.326147552532
240,0.321207659634
241,0.316506706393
242,0.312055491501
243,0.307864847556
244,0.3039455526
245,0.300308230872
246,0.296963243709
247,0.293920572091
248,0.291189692954
249,0.288779451948
250,0.286697935904
251,0.284952348712
252,0.283548894586
253,0.282492672834
254,0.281787588069
255,0.281436279421
256,0.2814400717
257,0.281798950571
258,0.280734839715
259,0.427385090743
260,0.422225911816
261,0.415707027261
262,0.408184354304
263,0.400770010958
264,0.393470121188
265,0.386291173666
266,0.3792400367
267,0.372323971859
268,0.365550645746
269,0.358928139312
270,0.352464953966
271,0.346170013662
272,0.340052662014
273,0.334122653419
274,0.32839013705
275,0.322865632573
276,0.317559996349
277,0.312484376994
278,0.30765015919
279,0.303068894864
280,0.298752221111
281,0.294711764616
282,0.290959032834
283,0.287505292772
284,0.284361438941
285,0.281537852768
286,0.279044256571
287,0.27688956591
288,0.275081744749
289,0.273627668336
290,0.272532998852
291,0.271802078814
292,0.27143784672
293,0.271441778687
294,0.271813858736
295,0.272508277214
296,0.271208435195
297,0.436519001184
298,0.431336016373
299,0.424811125168
300,0.416991994153
301,0.4092486503
302,0.401605020333
303,0.394066906681
304,0.386640480971
305,0.379332303014
306,0.372149339237
307,0.365098980112
308,0.358189056035
309,0.351427850985
310,0.344824113183
311,0.338387061834
312,0.332126388896
313,0.326052254686
314,0.320175276013
315,0.314506505425
316,0.309057400072
317,0.303839778705
318,0.298865765366
319,0.294147718489
320,0.289698144414
321,0.285529594721
322,0.281654547355
323,0.278085272228
324,0.274833682824
325,0.271911176304
326,0.269328465602
327,0.267095407988
328,0.265220835442
329,0.263712392839
330,0.262576390259
331,0.261817675694
332,0.261439533909
333,0.261443616244
334,0.261829904822
335,0.262596712934
336,0.263550848131
337,0.262104532755
338,0.446550439579
339,0.441385687283
340,0.434788678535
341,0.426790556687
342,0.418750897147
343,0.410797332569
344,0.402934961291
345,0.395169226553
346,0.387505938276
347,0.379951295278
348,0.372511907686
349,0.365194819176
350,0.358007528604
351,0.350958010482
352,0.34405473359
353,0.337306676914
354,0.330723341896
355,0.324314759854
356,0.318091493196
357,0.312064628929
358,0.306245762767
359,0.300646972041
360,0.295280775503
361,0.290160078174
362,0.285298099451
363,0.280708282983
364,0.276404187232
365,0.272399356284
366,0.268707171263
367,0.265340683788
368,0.26231243405
369,0.25963425745
370,0.257317084987
371,0.255370743842
372,0.253803765526
373,0.252623209503
374,0.251834510272
375,0.251441355287
376,0.251445599947
377,0.251847224161
378,0.252644332812
379,0.253833200126
380,0.25498541674
381,0.253471186143
382,0.457420360139
383,0.452298403787
384,0.445590389834
385,0.437513468783
386,0.429208771987
